id,name
1,河合塾
2,駿台予備校
3,東進ハイスクール
4,進研ゼミ
5,Z会
6,代々木ゼミナール
7,四ツ谷学院
8,早稲田アカデミー
9,臨海セミナー
10,武田塾
11,鉄緑会
12,その他（集団指導塾）
13,その他（個別指導塾）
14,その他（通信教材）
15,通っていなかった
